Reference,Function,Candidate_or_specification,Quantity,Proposed_supply,Interface,Selection_notes
U1,BLE controller,"Nordic nRF52840, QIAA package candidate",1,3V0,"PDM, QSPI, I2C, GPIO, BLE","MCU scheduling, light ADPCM framing, timestamps and encryption only. No AI inference. Package pad map pending."
U2,Optical pulse sensor,Analog Devices MAX30101,1,1V8 core / 3V3 LED proposed,I2C + active-low interrupt,"Green/red/IR architecture. Planned scheduled PPG windows. Confirm exact package, supply limits, optics and algorithm."
U3,Low-power accelerometer,Bosch BMA400,1,3V0 proposed,I2C + INT1/INT2,No gyroscope in R02. 25 Hz starting target; select a supported low-power mode during validation.
U4,Skin temperature sensor,Texas Instruments TMP117,1,3V0 proposed,I2C,Skin-adjacent flex island; one sample per minute target. Not core body temperature.
U5,Reconnect audio buffer,"Winbond W25Q512JV family, 512 Mbit NOR",1,3V0 proposed,QSPI,"64 MiB nominal; reserve 20%. Exact ordering code, package and write current pending."
U6,Charger and regulator PMIC,Nordic nPM1300,1,VBAT / VBUS5 input,I2C + IRQ; BUCK1/BUCK2,"Proposed 3V0 system and 1V8 optical rails. Exact programming, reference passives and pin map pending."
U7,Optical LED buck-boost,Texas Instruments TPS63031,1,VBAT to 3V3_LED proposed,EN from MCU,"Avoid assuming a buck can maintain 3.3 V from a discharged cell. Confirm peak current, inductor and capacitors."
U8,Microphone supply gate,Texas Instruments TPS22916,1,3V0 to MIC_3V0,ON from CAPTURE_EN,Select exact discharge variant. Physical switch and firmware permit must both be true.
U9,PDM isolation buffers,Texas Instruments SN74LVC2G126,1,3V0 proposed,"CLK one channel, DATA reverse path on second",OE follows CAPTURE_EN; check power-off and input behavior. Prevent microphone back-power.
U10,Capture permission gate,Texas Instruments SN74LVC1G08,1,3V0 proposed,AND of SW_ACTIVE and MCU_MIC_REQUEST,External pulldowns hold capture disabled at reset. Gate schematic still needs design review.
U11,Optical I2C level translator,Texas Instruments PCA9306,1,1V8 / 3V0 domains,SCL/SDA bidirectional,Reference-bias and enable network per datasheet. Do not directly connect 3 V pullups to a 1.8 V-only pin.
